,Category,Attribute,Presidio_2000,Presidio_2010,Presidio_2011,Presidio_2012,Presidio_2013,Presidio_2014,Presidio_2015,Presidio_2016,Presidio_2017,Presidio_2018,Presidio_2019,Presidio_2020,Presidio_2021,Presidio_2022
37,Income,"Percent in Poverty by Race, Hispanic or Latino",0.2304147465437788,0.410958904109589,0.2383720930232558,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Educational Attainment,"Some College/Associate Degree by Race, White Alone, Not Hispanic or Latino",0.1298157453936348,0.09133765468473777,0.104957805907173,0.1017672151127361,0.0943620178041543,0.09750927397986221,0.1183013144590495,0.1043652784746613,0.09226333493512734,0.1033797216699801,0.07747148288973384,0.1009376723662438,0.0759493670886076,0.0632118451025057
39,Educational Attainment,"Some College/Associate Degree by Race, White Alone",0.143862392494136,0.08897818599311137,0.1012722646310433,0.09899328859060402,0.09929078014184398,0.10009765625,0.1220527045769764,0.1093821510297483,0.09923319801533605,0.1001444390948483,0.0740236148955495,0.09596224436287362,0.07239819004524888,0.0593900481540931
40,Income,"Percent in Poverty by Race, Some Other Race Alone",0.3571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Educational Attainment,College Degree or higher,0.7490247074122237,0.01688555347091933,0.0236254295532646,0.03213610586011342,0.01044138585666825,0.009376273950264982,0.01031353135313531,0.02263374485596708,0.04031936127744511,0.04886494805694498,0.04363249379212487,0.05407380343441724,0.05892547660311959,0.0565410199556541
42,Educational Attainment,"Some College/Associate Degree by Race, Asian Alone",0.08695652173913043,0.0,0.02803738317757009,0.084070796460177,0.09895833333333333,0.05974842767295598,0.1528384279475982,0.1444444444444444,0.1204819277108434,0.1009174311926606,0.1074380165289256,0.04680851063829787,0.0,0.0
43,Housing Prices,Extremely Rent Burdened,0.1599015990159902,0.2038539553752536,0.1700984780662489,0.1639194139194139,0.1484517304189435,0.09114811568799298,0.09229534510433386,0.1140833988985051,0.08557844690966719,0.1191950464396285,0.1310077519379845,0.2158385093167702,0.1895522388059701,0.1848234410217881
44,Educational Attainment,High School or Less,0.09037711313394019,0.09427767354596622,0.09707903780068729,0.1034971644612476,0.1058376839107736,0.09580105992662047,0.1262376237623762,0.1123456790123457,0.1005988023952096,0.09580607926125433,0.0776871230932955,0.07818779685787358,0.05684575389948007,0.04656319290465632
45,Educational Attainment,Some College/Associate Degree,0.1605981794538361,0.8527204502814258,0.8466494845360825,0.1034971644612476,0.1058376839107736,0.09580105992662047,0.1262376237623762,0.1123456790123457,0.1005988023952096,0.09580607926125433,0.0776871230932955,0.07818779685787358,0.05684575389948007,0.04656319290465632
46,Educational Attainment,"High School or Less by Race, Two or More Races",0.145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Households,"Households with Children, % of Total",0.2584541062801932,0.2475247524752475,0.2384751773049645,0.271062271062271,0.2862190812720848,0.3169129720853859,0.3869188337273444,0.4310872894333844,0.4973384030418251,0.4424379232505644,0.3851963746223565,0.4066767830045523,0.4093264248704663,0.3651389932381668
48,Housing,"Owner Occupied by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,,,,,,,,,
49,Educational Attainment,"Some College/Associate Degree by Race, Two or More Races",0.2135922330097087,0.2264150943396226,0.2195121951219512,0.2380952380952381,0.2439024390243902,0.4583333333333333,0.3684210526315789,0.3809523809523809,0.2307692307692308,0.2087912087912088,0.154639175257732,0.0,0.0,0.0
50,Educational Attainment,"College Degree or higher by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,,
51,Housing Type,2-4 Units,0.5525889967637541,0.3841166936790924,0.4349206349206349,0.44375,0.4462365591397849,0.3652239939255885,0.4059925093632959,0.4317019722425128,0.4770710059171598,0.490692479523455,0.5254491017964071,0.5156017830609212,0.5286439448875997,0.4874371859296482
52,Educational Attainment,"Some College/Associate Degree by Race, Some Other Race Alone",0.4210526315789473,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Educational Attainment,"College Degree or higher by Race, American Indian and Alaska Native Alone",1.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,1.0
54,Educational Attainment,"Some College/Associate Degree by Race, Hispanic or Latino",0.3253968253968254,0.0,0.0,0.06802721088435375,0.1554054054054054,0.1206896551724138,0.1515151515151515,0.1313559322033898,0.1359223300970874,0.0,0.0,0.0,0.0,0.0
55,Housing,"Owner Occupied by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
56,Age,60 and older,0.01021768103065304,0.03037709497206704,0.04250411861614498,0.04376519624869746,0.04900616860863605,0.05070993914807302,0.015213257267047,0.02795193312434692,0.0395919358756376,0.05365379946588978,0.05300520586843351,0.05573287503068991,0.04159773103285275,0.03922064777327935
57,Housing,"Owner Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,,,,,,,,,,,,,
58,Journey to Work,Journey to Work by Worked at Home,,0.1690209449585972,0.1886701872299568,0.139694254085398,0.1679306608884074,0.1900497512437811,0.1529105125977411,0.15514261019879,0.1448921448921449,0.1330376940133038,0.09084431777698611,0.1546700942587832,0.1851400730816078,0.252093433230498
59,Housing,"Owner Occupied by Race, Some Other Race Alone",0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Journey to Work,Journey to Work by Transit,,0.2654651729176815,0.2635621699471916,0.2836056931997891,0.2323943661971831,0.2412935323383085,0.291485664639444,0.2389801210025929,0.2519332519332519,0.2823355506282336,0.2589953687210545,0.2082262210796915,0.1993503857084856,0.1463199647421772
61,Language Spoken at Home,Asian/Pacific Islander,0.0459280303030303,0.06509539842873176,0.06245538900785153,0.0565602154674875,0.05108359133126935,0.0495703899537343,0.04886091127098321,0.02625368731563422,0.02808533621388064,0.03456402199528672,0.04017072558373085,0.03626220362622036,0.0389957264957265,0.03511801957397812
62,Housing,"Owner Occupied by Race, Hispanic or Latino",0.0,0.0,0.0,0.0,0.1527777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Income,"Percent in Poverty by Race, Black or African American Alone",0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.4269662921348314,0.4252873563218391,0.28,0.3148148148148148
64,Educational Attainment,"Some College/Associate Degree by Race, American Indian and Alaska Native Alone",0.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0
65,Age,18-34 Years,0.6414926699244781,0.513268156424581,0.4490939044481054,0.464397360194512,0.3636052090472927,0.3355549116198203,0.3979896767182831,0.3565830721003135,0.3174641729414622,0.3932993445010925,0.3951727401798391,0.3464276945740241,0.3505081541006854,0.3097165991902834
66,Journey to Work,Journey to Work by Drove Alone,,0.3930832927423283,0.3619779164666347,0.3737480231945177,0.4236186348862405,0.3756218905472637,0.3653344917463076,0.3967156439066551,0.3455433455433455,0.2893569844789357,0.335589597434984,0.3466152527849186,0.3361753958587089,0.3662406346408109
67,Vehicles Available,Households with no Vehicle,0.04106280193236715,0.03663366336633663,0.04787234042553191,0.05311355311355311,0.053886925795053,0.06157635467980296,0.06540583136327817,0.05513016845329249,0.02585551330798479,0.02784048156508653,0.02492447129909366,0.04324734446130501,0.04219096965210955,0.04207362885048836
68,Housing,"Owner Occupied by Race, Two or More Races",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Housing Type,20 Units or More,0.008090614886731391,0.04619124797406807,0.04682539682539683,0.06171875,0.08294930875576037,0.1002277904328018,0.1108614232209738,0.1307523739956172,0.1198224852071006,0.1459419210722264,0.1489520958083832,0.1671619613670134,0.1602610587382161,0.1658291457286432
70,Housing Type,Single Family Housing,0.226537216828479,0.4611021069692058,0.3785714285714286,0.325,0.2803379416282642,0.3340926347760061,0.2913857677902622,0.2673484295105917,0.2855029585798817,0.2836932241250931,0.2574850299401197,0.2526002971768202,0.2509064539521392,0.280689160086145
71,Educational Attainment,"College Degree or higher by Race, Some Other Race Alone",0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6310160427807486,0.6644295302013423,0.7256637168141593,0.88,0.8832116788321168
72,Income,"Percent in Poverty by Race, American Indian and Alaska Native Alone",0.0,0.5882352941176471,0.2142857142857143,0.2258064516129032,0.0,,,,,,0.0,0.0,0.0,0.0
73,Educational Attainment,"College Degree or higher by Race, Black or African American Alone",0.1363636363636364,0.9016393442622951,1.0,1.0,1.0,1.0,,,,0.0,0.4864864864864865,0.4166666666666667,0.4533333333333333,0.4074074074074074
74,Educational Attainment,"Some College/Associate Degree by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,,
75,Educational Attainment,"Some College/Associate Degree by Race, Black or African American Alone",0.6136363636363636,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.2027027027027027,0.2777777777777778,0.2666666666666667,0.2777777777777778
76,Educational Attainment,"High School or Less by Race, Asian Alone",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1807228915662651,0.1330275229357798,0.1570247933884298,0.2765957446808511,0.1863117870722434,0.1528384279475982
77,Nativity,Foreign Born,0.08796090626388271,0.09741620111731844,0.1439868204283361,0.1712400138937131,0.1322823851953393,0.1188061431469139,0.1241510459114371,0.103448275862069,0.1272771435511295,0.1206603544549648,0.1100331282536678,0.1561502577952369,0.1645001181753722,0.1685222672064777
78,Educational Attainment,"High School or Less by Race, Black or African American Alone",0.25,0.09836065573770492,0.0,0.0,0.0,0.0,,,,1.0,0.3108108108108108,0.3055555555555556,0.28,0.3148148148148148
79,Journey to Work,Journey to Work by Car,,0.4237700925474915,0.4229476716274604,0.4480759093305219,0.470747562296858,0.4248756218905473,0.4148566463944396,0.452895419187554,0.4277574277574278,0.3762010347376201,0.4356964731029569,0.4460154241645244,0.4185952090946001,0.4111943587483473
80,Housing Prices,Rent Burdened,0.3837638376383764,0.3711967545638945,0.3742166517457475,0.3782051282051282,0.3834244080145719,0.3374233128834356,0.3097913322632424,0.2879622344610543,0.2345483359746434,0.2763157894736842,0.2829457364341085,0.3299689440993789,0.3119402985074627,0.3223140495867768
81,Age,35-59 Years,0.2176810306530431,0.2922486033519553,0.3232289950576606,0.2865578325807572,0.3481836874571624,0.3630831643002028,0.3287150230915512,0.3343782654127482,0.3558416322564975,0.3122117018693858,0.3402744912446758,0.3422538669285539,0.354289766012763,0.3952429149797571
82,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",0.02053140096618358,0.07425742574257425,0.09042553191489362,0.0924908424908425,0.09098939929328621,0.1009852216748768,0.03703703703703703,0.0681470137825421,0.08365019011406843,0.1188863807373965,0.1246223564954683,0.1418816388467375,0.1132494448556625,0.1111945905334335
83,Housing,"Owner Occupied by Race, White Alone",0.0,0.01330376940133038,0.0,0.0,0.03417085427135678,0.025390625,0.02035398230088496,0.02973661852166525,0.03941730934018852,0.02331838565022422,0.02148612354521039,0.03027245206861756,0.01104417670682731,0.0
84,Housing,"Owner Occupied by Race, White Alone, Not Hispanic or Latino",0.02329192546583851,0.0136830102622577,0.0,0.0,0.02491874322860238,0.02742616033755274,0.02196752626552053,0.03243744207599629,0.04132973944294699,0.02387511478420569,0.02272727272727273,0.03198294243070363,0.01165254237288136,0.0
85,Households,"Single Person Households, % of Total",0.1243961352657005,0.2584158415841584,0.3058510638297872,0.3113553113553114,0.3277385159010601,0.2889983579638752,0.2576832151300236,0.2105666156202144,0.1566539923954373,0.1738148984198646,0.1268882175226586,0.1198786039453718,0.1132494448556625,0.149511645379414
86,Educational Attainment,"High School or Less by Race, Hispanic or Latino",0.07936507936507936,0.3333333333333333,0.5652173913043478,0.3877551020408163,0.07432432432432433,0.132183908045977,0.1262626262626263,0.2330508474576271,0.3398058252427185,0.2412587412587412,0.1785714285714286,0.0610236220472441,0.0,0.001721170395869191
87,Housing,Owner Occupied,0.01811594202898551,0.02376237623762376,0.00975177304964539,0.0,0.03003533568904593,0.06321839080459771,0.01812450748620961,0.02679938744257274,0.0403041825095057,0.02784048156508653,0.0256797583081571,0.02276176024279211,0.008142116950407105,0.0
88,Educational Attainment,"College Degree or higher by Race, Hispanic or Latino",0.5952380952380952,0.6666666666666666,0.4347826086956522,0.54421768707483,0.7702702702702703,0.7471264367816092,0.7222222222222222,0.635593220338983,0.5242718446601942,0.7587412587412588,0.8214285714285714,0.9389763779527559,1.0,0.9982788296041308
89,Vehicles Available,Percent of No Vehicle Renting Households,0.04182041820418204,0.03752535496957404,0.04834377797672337,0.05311355311355311,0.05555555555555555,0.06573181419807186,0.0666131621187801,0.05664830841856806,0.02694136291600634,0.02863777089783282,0.02558139534883721,0.04425465838509317,0.04253731343283582,0.04207362885048836
90,Housing,"Renter Occupied by Race, Asian Alone",0.0108695652173913,0.7966101694915254,0.8735632183908046,1.0,1.0,0.6357142857142857,1.0,1.0,0.8727272727272727,0.7962962962962963,0.8214285714285714,1.0,1.0,1.0
91,Vehicles Available,Vehicles Renters,0.9876160990712074,,,1.0,0.9532763532763533,0.897676717745922,,0.9637780834479597,0.9473684210526315,0.9576017130620985,0.9629477151090984,,,1.0
92,Employment,Managerial Professional,0.5057316250842886,0.4575448811256672,0.4720379146919431,0.432712215320911,0.477491961414791,0.5070835368832438,0.4846022241231822,0.5445969125214408,0.5402670983407527,0.4887743835112256,0.4444444444444444,0.446553858852662,0.4389477817039654,0.4931972789115646
93,Vehicles Available,Vehicles Per Capita,0.7174589071523767,,,0.6064605765890935,0.6014393420150789,0.5862068965517241,,0.5697492163009404,0.5676463444255526,0.5668851663025006,0.5747752011358258,,,0.5290991902834008
94,Educational Attainment,"High School or Less by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,,
95,Educational Attainment,"High School or Less by Race, Some Other Race Alone",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3689839572192513,0.3355704697986577,0.2743362831858407,0.12,0.1167883211678832
96,Households,Family Households,0.4879227053140097,0.3940594059405941,0.3918439716312057,0.4157509157509158,0.465547703180212,0.4967159277504105,0.4980299448384555,0.6156202143950995,0.685171102661597,0.5778781038374717,0.5566465256797583,0.6267071320182094,0.5854922279792746,0.5822689706987227
97,Educational Attainment,"College Degree or higher by Race, Asian Alone",0.9130434782608695,1.0,0.9719626168224299,0.915929203539823,0.9010416666666666,0.940251572327044,0.8471615720524017,0.8055555555555556,0.6987951807228916,0.7660550458715596,0.7355371900826446,0.676595744680851,0.8136882129277566,0.8471615720524017
98,Housing,"Owner Occupied by Race, Asian Alone",0.01811594202898551,0.2033898305084746,0.1264367816091954,0.0,0.0,0.3642857142857143,0.0,0.0,0.1272727272727273,0.2037037037037037,0.1785714285714286,0.0,0.0,0.0
99,Educational Attainment,"High School or Less by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
100,Households,Non-Family Households,0.5120772946859904,0.6059405940594059,0.6081560283687943,0.5842490842490843,0.534452296819788,0.5032840722495895,0.5019700551615445,0.3843797856049004,0.314828897338403,0.4221218961625282,0.4433534743202417,0.3732928679817906,0.4145077720207254,0.4177310293012773
101,Vehicles Available,Vehicles Homeowners,0.01238390092879257,,,,0.04672364672364673,0.1023232822540781,,0.03622191655204035,0.05263157894736842,0.0423982869379015,0.03705228489090161,,,
102,Language Spoken at Home,English Only,0.8333333333333334,0.8410026187803965,0.7987152034261242,0.7941515967679876,0.7991486068111455,0.822207534699273,0.8003597122302158,0.807669616519174,0.786119362678909,0.8114689709347996,0.8327893547577203,0.8189679218967922,0.8058226495726496,0.7700057570523892
103,Housing,"Renter Occupied by Race, White Alone, Not Hispanic or Latino",0.9767080745341615,0.9863169897377423,1.0,1.0,0.9750812567713976,0.9725738396624473,0.9780324737344794,0.9675625579240037,0.958670260557053,0.9761248852157943,0.9772727272727273,0.9680170575692963,0.9883474576271186,1.0
104,Housing,"Renter Occupied by Race, White Alone",0.05555555555555555,0.9866962305986696,1.0,1.0,0.9658291457286432,0.974609375,0.9796460176991151,0.9702633814783348,0.9605826906598115,0.9766816143497757,0.9785138764547896,0.9697275479313825,0.9889558232931727,1.0
105,Housing,Renter Occupied,0.9818840579710145,0.9762376237623762,0.9902482269503546,1.0,0.9699646643109541,0.9367816091954023,0.9818754925137904,0.9732006125574273,0.9596958174904943,0.9721595184349134,0.974320241691843,0.9772382397572079,0.9918578830495929,1.0
106,Educational Attainment,"College Degree or higher by Race, Two or More Races",0.6407766990291263,0.7735849056603774,0.7804878048780488,0.7619047619047619,0.7560975609756098,0.5416666666666666,0.631578947368421,0.6190476190476191,0.7692307692307693,0.7912087912087912,0.845360824742268,1.0,1.0,1.0
107,Housing,"Renter Occupied by Race, Two or More Races",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,Housing,"Renter Occupied by Race, Black or African American Alone",0.822463768115942,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0
109,Housing,"Renter Occupied by Race, Hispanic or Latino",1.0,1.0,1.0,1.0,0.8472222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,Housing,"Renter Occupied by Race, Some Other Race Alone",0.04951690821256038,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,Educational Attainment,"College Degree or higher by Race, White Alone",0.7677873338545739,0.8530424799081515,0.8320610687022901,0.8355704697986577,0.8827059465357338,0.89501953125,0.8668515950069348,0.8814645308924485,0.8732521425349572,0.8671160327395282,0.8732970027247956,0.8405873099108547,0.8431372549019608,0.8507223113964687
112,Housing,"Renter Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",0.01207729468599034,,,,,,,,,,,,,
113,Housing,"Renter Occupied by Race, American Indian and Alaska Native Alone",0.03140096618357488,1.0,1.0,1.0,1.0,,,,,,,,,
114,Educational Attainment,"College Degree or higher by Race, White Alone, Not Hispanic or Latino",0.7839195979899497,0.8579846788450206,0.8465189873417721,0.8616697135892748,0.8925816023738873,0.9024907260201378,0.8756319514661274,0.8911189162067236,0.8784238346948583,0.8628230616302187,0.8673954372623575,0.8323221180364038,0.8354430379746836,0.841116173120729
