,Category,Attribute,Financial District_2020,Financial District_2021,Financial District_2022
317,Income,"Household Income 60000 to 74999 by Race, White Alone, Not Hispanic or Latino",178.0,187.0,160.0
363,Income,Household Income 75000 to 99999,720.0,497.0,542.0
125,Income,"Household Income 75000 to 99999 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
328,Income,"Household Income 75000 to 99999 by Race, Asian Alone",433.0,412.0,271.0
212,Income,"Household Income 75000 to 99999 by Race, Black or African American Alone",0.0,0.0,25.0
299,Income,"Household Income 75000 to 99999 by Race, Hispanic or Latino",110.0,12.0,12.0
153,Income,"Household Income 75000 to 99999 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,0.0
273,Income,"Household Income 75000 to 99999 by Race, Some Other Race Alone",83.0,3.0,0.0
264,Income,"Household Income 75000 to 99999 by Race, Two or More Races",0.0,0.0,24.0
336,Income,"Household Income 75000 to 99999 by Race, White Alone",204.0,82.0,222.0
331,Income,"Household Income 75000 to 99999 by Race, White Alone, Not Hispanic or Latino",186.0,73.0,210.0
385,Income,Household Income Greater than 200000,6150.0,5982.0,6651.0
158,Income,"Household Income Greater than 200000 by Race, American Indian and Alaska Native Alone",0.0,0.0,2.0
364,Income,"Household Income Greater than 200000 by Race, Asian Alone",2439.0,2257.0,2598.0
267,Income,"Household Income Greater than 200000 by Race, Black or African American Alone",28.0,25.0,98.0
325,Income,"Household Income Greater than 200000 by Race, Hispanic or Latino",276.0,277.0,358.0
162,Income,"Household Income Greater than 200000 by Race, Native Hawaiian and Other Pacific Islander Alone",56.0,66.0,74.0
283,Income,"Household Income Greater than 200000 by Race, Some Other Race Alone",0.0,12.0,10.0
320,Income,"Household Income Greater than 200000 by Race, Two or More Races",110.0,97.0,123.0
376,Income,"Household Income Greater than 200000 by Race, White Alone",3517.0,3525.0,3746.0
375,Income,"Household Income Greater than 200000 by Race, White Alone, Not Hispanic or Latino",3268.0,3273.0,3420.0
340,Income,Household Income Less than 10000,275.0,411.0,560.0
151,Income,"Household Income Less than 10000 by Race, American Indian and Alaska Native Alone",0.0,0.0,0.0
309,Income,"Household Income Less than 10000 by Race, Asian Alone",6.0,121.0,235.0
235,Income,"Household Income Less than 10000 by Race, Black or African American Alone",20.0,8.0,0.0
236,Income,"Household Income Less than 10000 by Race, Hispanic or Latino",61.0,15.0,0.0
134,Income,"Household Income Less than 10000 by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,0.0,13.0
200,Income,"Household Income Less than 10000 by Race, Some Other Race Alone",0.0,0.0,0.0
199,Income,"Household Income Less than 10000 by Race, Two or More Races",6.0,5.0,24.0
302,Income,"Household Income Less than 10000 by Race, White Alone",243.0,277.0,288.0
297,Income,"Household Income Less than 10000 by Race, White Alone, Not Hispanic or Latino",182.0,262.0,288.0
404,Income,Households Total for Income,11967.0,12091.0,13017.0
221,Income,"Households Total for Income by Race, American Indian and Alaska Native Alone",0.0,34.0,36.0
382,Income,"Households Total for Income by Race, Asian Alone",4522.0,4438.0,4956.0
343,Income,"Households Total for Income by Race, Black or African American Alone",91.0,171.0,208.0
366,Income,"Households Total for Income by Race, Hispanic or Latino",635.0,675.0,1000.0
205,Income,"Households Total for Income by Race, Native Hawaiian and Other Pacific Islander Alone",56.0,127.0,103.0
346,Income,"Households Total for Income by Race, Some Other Race Alone",211.0,244.0,337.0
356,Income,"Households Total for Income by Race, Two or More Races",297.0,278.0,472.0
396,Income,"Households Total for Income by Race, White Alone",6790.0,6799.0,6905.0
393,Income,"Households Total for Income by Race, White Alone, Not Hispanic or Latino",6421.0,6476.0,6407.0
392,Income,Median Family Income,213882.6379785605,210415.5790613718,211372.6675814751
388,Income,Median Household Income,201353.7126829268,197792.0723226704,201071.3103292738
372,Income,"Median Household Income by Race, American Indian and Alaska Native Alone",0.0,37500.0,37647.05882352941
383,Income,"Median Household Income by Race, Asian Alone",203649.1824518245,200841.8591050066,202309.5612009238
370,Income,"Median Household Income by Race, Black or African American Alone",17965.11627906977,151209.6774193548,106250.0
378,Income,"Median Household Income by Race, Hispanic or Latino",96022.72727272726,115353.2608695652,118750.0
379,Income,"Median Household Income by Race, Native Hawaiian and Other Pacific Islander Alone",225001.0,201894.0151515151,215203.3108108108
377,Income,"Median Household Income by Race, Some Other Race Alone",84789.15662650602,107727.2727272727,122584.0336134454
387,Income,"Median Household Income by Race, Two or More Races",146527.7777777778,138392.8571428571,66666.66666666667
394,Income,"Median Household Income by Race, White Alone",201734.5021324993,201780.2130496454,203917.6687132942
395,Income,"Median Household Income by Race, White Alone, Not Hispanic or Latino",200879.7781517748,200534.6990528567,203165.3312865497
32,Income,Percent in Poverty,0.09887018068316701,0.1230395405345703,0.07909209951986032
72,Income,"Percent in Poverty by Race, American Indian and Alaska Native Alone",,0.0,0.0
31,Income,"Percent in Poverty by Race, Asian Alone",0.05865191146881288,0.09384407764974567,0.06019285088146489
63,Income,"Percent in Poverty by Race, Black or African American Alone",0.4257028112449799,0.3370429252782194,0.2517006802721088
37,Income,"Percent in Poverty by Race, Hispanic or Latino",0.07392363931762795,0.04450825556353195,0.06752730883813307
30,Income,"Percent in Poverty by Race, Native Hawaiian and Other Pacific Islander Alone",0.03603603603603604,0.0,0.09352517985611511
40,Income,"Percent in Poverty by Race, Some Other Race Alone",0.09365558912386707,0.0,0.06633906633906633
29,Income,"Percent in Poverty by Race, Two or More Races",0.1411764705882353,0.1975540921919097,0.1537828947368421
20,Income,"Percent in Poverty by Race, White Alone",0.1171677437482439,0.1358726019742969,0.08542118761096863
18,Income,"Percent in Poverty by Race, White Alone, Not Hispanic or Latino",0.1170394143014743,0.1414483514294252,0.0873838265142613
6,Journey to Work,Journey to Work by Bike,0.01954606828264643,0.02727456394369991,0.02600502512562814
79,Journey to Work,Journey to Work by Car,0.153025139844403,0.1511886322311267,0.137248743718593
16,Journey to Work,Journey to Work by Carpooled,0.009773034141323217,0.01131389319146071,0.0196608040201005
66,Journey to Work,Journey to Work by Drove Alone,0.1432521057030798,0.139874739039666,0.1175879396984925
8,Journey to Work,Journey to Work by Other Journey Type,0.02269658586767826,0.02734190854603004,0.03247487437185929
60,Journey to Work,Journey to Work by Transit,0.2218221564971388,0.2103171930769749,0.1609924623115578
33,Journey to Work,Journey to Work by Walk,0.3976081784864656,0.3766583608323793,0.3569095477386935
58,Journey to Work,Journey to Work by Worked at Home,0.1853018710216678,0.2072193413697892,0.2863693467336683
408,Journey to Work,Total Workers 16 Years and Older,15553.0,14849.0,15920.0
61,Language Spoken at Home,Asian/Pacific Islander,0.2590507574717378,0.2604482410214017,0.2969286319261802
102,Language Spoken at Home,English Only,0.5619479152363953,0.556076054009369,0.5088485713012081
15,Language Spoken at Home,Other European Languages,0.1280607808137672,0.1294204096629007,0.1163910310702982
1,Language Spoken at Home,Other Languages,0.006911071444917387,0.003031138054560485,0.0107876788659564
35,Language Spoken at Home,Spanish Only,0.0440294750331823,0.05102415725176816,0.06704408683635715
77,Nativity,Foreign Born,0.3962025867700213,0.3995969861573506,0.4144830871843735
410,Population,Total Population,22963.0,22828.0,23089.0
401,Race/Ethnicity,Asian,9955.0,9656.0,10302.0
367,Race/Ethnicity,Black/African American,526.0,661.0,319.0
386,Race/Ethnicity,Latino Population (of Any Race),1297.0,1441.0,2039.0
295,Race/Ethnicity,Native American Indian,0.0,34.0,42.0
284,Race/Ethnicity,Native Hawaiian/Pacific Islander,111.0,170.0,139.0
390,Race/Ethnicity,Other/Two or More Races,1603.0,1485.0,2069.0
402,Race/Ethnicity,"White Alone, Not Hispanic or Latino",10038.0,10099.0,9439.0
403,Race/Ethnicity,"White, Including Hispanic or Latino",10768.0,10822.0,10218.0
380,Unit Size,1 Bedroom,4888.0,5320.0,6210.0
384,Unit Size,2 Bedrooms,5428.0,5261.0,5243.0
381,Unit Size,3-4 Bedrooms,1468.0,1790.0,1654.0
327,Unit Size,5 or More Bedrooms,56.0,118.0,86.0
373,Unit Size,No Bedroom,3400.0,3359.0,3408.0
67,Vehicles Available,Households with no Vehicle,0.3847246594802373,0.3929368952113142,0.3798110163632173
34,Vehicles Available,Percent of No Vehicle Homeowning Households,0.1255834629917759,0.1483950617283951,0.133129123468426
89,Vehicles Available,Percent of No Vehicle Renting Households,0.54084092126406,0.5161049620693944,0.4991451042972757
406,Vehicles Available,Vehicles Available,8079.0,7010.0,9889.0
101,Vehicles Available,Vehicles Homeowners,0.5343483104344597,0.3880171184022825,0.4576802507836991
93,Vehicles Available,Vehicles Per Capita,0.3925655976676385,0.3835841313269494,0.4282991900905193
91,Vehicles Available,Vehicles Renters,0.4656516895655403,0.6119828815977175,0.542319749216301
